Genome,Start,Stop,Id,Sample
"gi|117530171|ref|NC_008562.1|",161663,161789,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",85031,85157,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",35526,35652,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",128576,128702,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",123095,123221,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",114949,115075,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",105154,105280,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",131499,131625,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",100197,100323,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",78395,78521,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",54824,54950,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",7573,7699,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",69925,70051,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",83432,83558,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",101969,102095,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",68224,68350,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",6377,6503,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",14098,14224,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",96184,96310,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",113406,113532,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",14241,14367,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",120996,121122,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",101156,101282,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",99439,99565,94.16,Sample_49640
"gi|117530171|ref|NC_008562.1|",46526,46652,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",140429,140555,88.88,Sample_49640
"gi|117530171|ref|NC_008562.1|",134158,134284,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",3574,3700,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",123122,123248,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",94600,94726,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",92779,92905,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",107653,107779,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",80798,80924,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",75635,75761,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",130183,130309,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",143363,143489,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",33378,33504,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",46648,46774,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",108561,108687,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",69528,69654,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",59630,59756,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",64546,64672,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",36830,36956,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",127796,127922,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",105761,105887,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",121852,121978,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",51957,52083,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",83416,83542,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",154136,154262,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",150217,150343,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",55766,55892,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",120,246,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",123492,123618,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",119083,119209,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",73566,73692,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",70769,70895,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",69610,69736,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",54404,54530,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",147694,147820,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",144356,144482,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",126454,126580,95.49,Sample_49640
"gi|117530171|ref|NC_008562.1|",26457,26583,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",137041,137167,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",98722,98848,93.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",87232,87358,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",46244,46370,88.09,Sample_49640
"gi|117530171|ref|NC_008562.1|",16047,16173,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",5824,5950,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",130312,130438,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",96043,96169,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",161780,161906,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",61228,61354,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",117597,117723,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",115761,115887,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",99467,99593,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",2664,2790,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",3267,3393,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",63362,63488,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",151787,151913,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",127378,127504,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",113035,113161,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",128803,128929,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",125736,125862,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",8409,8535,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",116679,116805,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",106983,107109,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",87698,87824,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",147148,147274,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",91768,91894,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",136966,137092,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",107005,107131,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",17527,17653,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",155298,155424,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",132452,132578,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",13442,13568,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",121989,122115,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",153812,153938,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",94707,94833,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",46757,46883,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",103432,103558,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",83510,83636,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",107112,107238,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",84625,84751,91.4,Sample_49640
"gi|117530171|ref|NC_008562.1|",47502,47628,92.12,Sample_49640
"gi|117530171|ref|NC_008562.1|",45909,46035,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",40108,40234,88.09,Sample_49640
"gi|117530171|ref|NC_008562.1|",73156,73282,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",5207,5333,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",1363,1489,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",71511,71637,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",148197,148323,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",71253,71379,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",70030,70156,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",47307,47433,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",141544,141670,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",14113,14239,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",17452,17578,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",67473,67599,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",790,916,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",133511,133637,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",106400,106526,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",148905,149031,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",155336,155462,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",57169,57295,88.97,Sample_49640
"gi|117530171|ref|NC_008562.1|",113096,113222,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",88936,89062,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",38822,38948,88.09,Sample_49640
"gi|117530171|ref|NC_008562.1|",72542,72668,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",119806,119932,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",44916,45042,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",102541,102667,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",11202,11328,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",76259,76385,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",98820,98946,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",44284,44410,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",158757,158883,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",152572,152698,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",61677,61803,94.3,Sample_49640
"gi|117530171|ref|NC_008562.1|",54793,54919,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",3882,4008,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",130427,130553,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",63164,63290,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",22074,22200,88.88,Sample_49640
"gi|117530171|ref|NC_008562.1|",108633,108759,100,Sample_49640
"gi|117530171|ref|NC_008562.1|",92681,92807,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",84831,84957,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",101284,101410,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",161350,161476,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",106320,106446,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",5861,5987,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",133026,133152,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",131399,131525,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",83053,83179,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",121911,122037,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",159438,159564,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",495,621,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",67531,67657,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",150065,150191,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",75740,75866,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",97947,98073,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",123205,123331,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",129180,129306,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",39483,39609,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",2952,3078,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",45222,45348,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",45694,45820,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",100713,100839,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",71287,71413,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",110741,110867,87.3,Sample_49640
"gi|117530171|ref|NC_008562.1|",79891,80017,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",72262,72388,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",144639,144765,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",129927,130053,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",158543,158669,90.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",23876,24002,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",129750,129876,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",91295,91421,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",102774,102900,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",46053,46179,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",33376,33502,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",123251,123377,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",117985,118111,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",102932,103058,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",146088,146214,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",37204,37330,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",130956,131082,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",161100,161226,87.3,Sample_49640
"gi|117530171|ref|NC_008562.1|",88679,88805,89.68,Sample_49640
"gi|117530171|ref|NC_008562.1|",118989,119115,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",17845,17971,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",20670,20796,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",33475,33601,88.09,Sample_49640
"gi|117530171|ref|NC_008562.1|",93215,93341,87.8,Sample_49640
"gi|117530171|ref|NC_008562.1|",43915,44041,88.09,Sample_49640
"gi|117530171|ref|NC_008562.1|",81334,81460,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",160438,160564,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",93619,93745,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",20137,20263,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",47754,47880,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",123810,123936,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",101367,101493,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",155967,156093,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",153975,154101,92.96,Sample_49640
"gi|117530171|ref|NC_008562.1|",88597,88723,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",49053,49179,92.3,Sample_49640
"gi|117530171|ref|NC_008562.1|",43778,43904,95.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",131085,131211,96.8,Sample_49640
"gi|117530171|ref|NC_008562.1|",119096,119222,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",113301,113427,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",79171,79297,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",132082,132208,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",127403,127529,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",90721,90847,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",6397,6523,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",144097,144223,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",61523,61649,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",52376,52502,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",84844,84970,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",52142,52268,94.3,Sample_49640
"gi|117530171|ref|NC_008562.1|",95011,95137,88.88,Sample_49640
"gi|117530171|ref|NC_008562.1|",131476,131602,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",111403,111529,90.76,Sample_49640
"gi|117530171|ref|NC_008562.1|",56272,56398,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",94116,94242,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",63625,63751,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",62121,62247,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",160641,160767,92.85,Sample_49640
"gi|117530171|ref|NC_008562.1|",63767,63893,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",138071,138197,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",51670,51796,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",113643,113769,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",119672,119798,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",94589,94715,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",57489,57615,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",46542,46668,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",99707,99833,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",103887,104013,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",127160,127286,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",71675,71801,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",34869,34995,91.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",125503,125629,89.68,Sample_49640
"gi|117530171|ref|NC_008562.1|",79159,79285,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",133497,133623,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",152781,152907,96,Sample_49640
"gi|117530171|ref|NC_008562.1|",153127,153253,88.09,Sample_49640
"gi|117530171|ref|NC_008562.1|",55234,55360,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",118648,118774,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",99044,99170,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",5637,5763,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",92466,92592,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",74302,74428,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",9208,9334,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",121666,121792,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",34891,35017,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",148775,148901,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",80396,80522,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",130359,130485,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",157983,158109,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",130369,130495,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",108998,109124,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",62223,62349,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",101707,101833,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",52460,52586,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",160653,160779,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",157311,157437,99.2,Sample_49640
"gi|117530171|ref|NC_008562.1|",127245,127371,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",36948,37074,91.05,Sample_49640
"gi|117530171|ref|NC_008562.1|",86209,86335,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",4464,4590,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",84730,84856,92.96,Sample_49640
"gi|117530171|ref|NC_008562.1|",70491,70617,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",149195,149321,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",133858,133984,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",67409,67535,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",116686,116812,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",91979,92105,100,Sample_49640
"gi|117530171|ref|NC_008562.1|",74326,74452,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",148630,148756,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",92944,93070,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",159861,159987,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",61933,62059,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",52060,52186,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",70158,70284,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",45475,45601,92.06,Sample_49640
"gi|117530171|ref|NC_008562.1|",59524,59650,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",77891,78017,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",150986,151112,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",94392,94518,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",69810,69936,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",118674,118800,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",115696,115822,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",68111,68237,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",104548,104674,88.09,Sample_49640
"gi|117530171|ref|NC_008562.1|",32978,33104,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",64296,64422,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",15097,15223,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",73428,73554,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",16751,16877,91.26,Sample_49640
"gi|117530171|ref|NC_008562.1|",102465,102591,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",54857,54983,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",82687,82813,98.41,Sample_49640
"gi|117530171|ref|NC_008562.1|",155898,156024,95.23,Sample_49640
"gi|117530171|ref|NC_008562.1|",92887,93013,97.61,Sample_49640
"gi|117530171|ref|NC_008562.1|",87401,87527,100,Sample_49640
"gi|117530171|ref|NC_008562.1|",83609,83735,94.44,Sample_49640
"gi|117530171|ref|NC_008562.1|",26616,26742,89.51,Sample_49640
"gi|117530171|ref|NC_008562.1|",88075,88201,96.03,Sample_49640
"gi|117530171|ref|NC_008562.1|",73304,73430,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",72106,72232,93.65,Sample_49640
"gi|117530171|ref|NC_008562.1|",131712,131838,90.47,Sample_49640
"gi|117530171|ref|NC_008562.1|",76740,76866,96.82,Sample_49640
"gi|117530171|ref|NC_008562.1|",3643,3769,96.03,Sample_49640
